title,company,location,url,scraped_at
Machine Learning Engineering Intern,Cambium Assessment,"Dallas, TX · 5 hours ago · 94 people clicked apply Promoted by hirer · Responses managed off LinkedIn",https://www.linkedin.com/jobs/view/4245631487/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=18g%2BL%2FLRAgRhUfD2TT%2BaVg%3D%3D&trackingId=kqOpzeWMSj%2Fjy5Mf%2FdO2Nw%3D%3D&trk=flagship3_search_srp_jobs,2025-06-10
AI/ML Engineer,Tata Consultancy Services,"Cupertino, CA · 4 hours ago · 53 people clicked apply Promoted by hirer · Responses managed off LinkedIn",https://www.linkedin.com/jobs/view/4245642737/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=18g%2BL%2FLRAgRhUfD2TT%2BaVg%3D%3D&trackingId=ZanRHcshuUMUwDIet%2FnhwQ%3D%3D&trk=flagship3_search_srp_jobs,2025-06-10
AI/ML Engineer,Tata Consultancy Services,"Cupertino, CA · 4 hours ago · 53 people clicked apply Promoted by hirer · Responses managed off LinkedIn",URL not found,2025-06-10
"Research Engineer, Language - Generative AI",Meta,"San Francisco, CA · Reposted 1 day ago · Over 100 people clicked apply Promoted by hirer · Responses managed off LinkedIn",https://www.linkedin.com/jobs/view/4215615761/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=18g%2BL%2FLRAgRhUfD2TT%2BaVg%3D%3D&trackingId=N8YepZeptUJLJ1Bo%2BLc64A%3D%3D&trk=flagship3_search_srp_jobs,2025-06-10
AI Open Shift Consultant,Jobs via Dice,"Jersey City, NJ · 5 hours ago · 0 people clicked apply Promoted by hirer · Responses managed off LinkedIn",https://www.linkedin.com/jobs/view/4245634526/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=18g%2BL%2FLRAgRhUfD2TT%2BaVg%3D%3D&trackingId=Al9WKPu%2FaTfCFbEKn%2BnaHQ%3D%3D&trk=flagship3_search_srp_jobs,2025-06-10
Senior Lead Data Engineer (Bank Tech),TalentAlly,"Wilmington, DE · 14 hours ago · 31 people clicked apply Promoted by hirer · Responses managed off LinkedIn",https://www.linkedin.com/jobs/view/4247484173/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=18g%2BL%2FLRAgRhUfD2TT%2BaVg%3D%3D&trackingId=jAgQ4P1cJ00SwR5f8IKR3w%3D%3D&trk=flagship3_search_srp_jobs,2025-06-10
AI Agents Developer,Optiver,"New York, United States · 5 hours ago · 22 people clicked apply Promoted by hirer · Responses managed off LinkedIn",https://www.linkedin.com/jobs/view/4245169530/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=18g%2BL%2FLRAgRhUfD2TT%2BaVg%3D%3D&trackingId=sQ0yaqzcE6UJTIioBkk1JQ%3D%3D&trk=flagship3_search_srp_jobs,2025-06-10
Conversational AI Engineer (AI Azure Cognitive Services/CLU) ---- LOCALS ONLY ---- Hybrid Role---- US citizens / GC Holders ---- NO THIRD PARTIES,"Zillion Technologies, Inc.","San Diego, CA · 4 days ago · 29 applicants Promoted by hirer · Actively reviewing applicants",https://www.linkedin.com/jobs/view/4242949318/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=18g%2BL%2FLRAgRhUfD2TT%2BaVg%3D%3D&trackingId=0shRTi9PXPPwne0TuLpirQ%3D%3D&trk=flagship3_search_srp_jobs,2025-06-10
Conversational AI Engineer (AI Azure Cognitive Services/CLU) ---- LOCALS ONLY ---- Hybrid Role---- US citizens / GC Holders ---- NO THIRD PARTIES,"Zillion Technologies, Inc.","San Diego, CA · 4 days ago · 29 applicants Promoted by hirer · Actively reviewing applicants",URL not found,2025-06-10
"Senior AI Engineer – LLM, RAG",Acubed,"Sunnyvale, CA · Reposted 14 hours ago · 85 people clicked apply Promoted by hirer · Responses managed off LinkedIn",https://www.linkedin.com/jobs/view/4239456540/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=18g%2BL%2FLRAgRhUfD2TT%2BaVg%3D%3D&trackingId=SKZXsXP2N1q0ZRIQOmjxhg%3D%3D&trk=flagship3_search_srp_jobs,2025-06-10
NLP Engineer,NTT DATA North America,"Irving, TX · 11 hours ago · 38 people clicked apply Promoted by hirer · Responses managed off LinkedIn",https://www.linkedin.com/jobs/view/4245389304/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=18g%2BL%2FLRAgRhUfD2TT%2BaVg%3D%3D&trackingId=fK5aUWAueOroXCJnN5D4uQ%3D%3D&trk=flagship3_search_srp_jobs,2025-06-10
Senior Artificial Intelligence Engineer - GCP - (US Remote),Rackspace Technology,United States · 4 days ago · 56 applicants No response insights available yet,https://www.linkedin.com/jobs/view/4242949406/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=18g%2BL%2FLRAgRhUfD2TT%2BaVg%3D%3D&trackingId=wyGDTFbcqrJNbQcboOCRrw%3D%3D&trk=flagship3_search_srp_jobs,2025-06-10
Data Scientist (Computer Vision),MARIS MLS,United States · 50 minutes ago · 0 people clicked apply Responses managed off LinkedIn,https://www.linkedin.com/jobs/view/4245663856/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=18g%2BL%2FLRAgRhUfD2TT%2BaVg%3D%3D&trackingId=mwlIekVNBFyDvSIsLQMeCQ%3D%3D&trk=flagship3_search_srp_jobs,2025-06-10
"Applied Scientist , Amazon",Amazon Business,"Palo Alto, CA · 6 hours ago · 16 people clicked apply Promoted by hirer · Responses managed off LinkedIn",https://www.linkedin.com/jobs/view/4245158893/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=18g%2BL%2FLRAgRhUfD2TT%2BaVg%3D%3D&trackingId=xunM8viQfWZT5Vk%2B%2Fm5nTQ%3D%3D&trk=flagship3_search_srp_jobs,2025-06-10
"Artificial Intelligence Engineer/Analyst - Northern, VA Area; Must have an active TS/SCI Clearance",Synertex LLC,"Virginia, United States · 4 days ago · 1 person clicked apply Promoted by hirer · Responses managed off LinkedIn",https://www.linkedin.com/jobs/view/4242948944/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=18g%2BL%2FLRAgRhUfD2TT%2BaVg%3D%3D&trackingId=qpGIzhmNebNXX0xttybu4Q%3D%3D&trk=flagship3_search_srp_jobs,2025-06-10
"Engineering Manager, AI Developer Technology",NVIDIA,"Santa Clara, CA · Reposted 15 hours ago · Over 100 people clicked apply Promoted by hirer · Responses managed off LinkedIn",https://www.linkedin.com/jobs/view/4185394462/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=18g%2BL%2FLRAgRhUfD2TT%2BaVg%3D%3D&trackingId=25D%2FzGY22l%2BEYYp52espqw%3D%3D&trk=flagship3_search_srp_jobs,2025-06-10
"Engineering Manager, AI Developer Technology",NVIDIA,"Santa Clara, CA · Reposted 15 hours ago · Over 100 people clicked apply Promoted by hirer · Responses managed off LinkedIn",URL not found,2025-06-10
Founding AI Engineer — AI Cyber-Security Start-Up,ManticoreAI,United States · 4 days ago · Over 100 applicants Promoted by hirer · Actively reviewing applicants,https://www.linkedin.com/jobs/view/4242441051/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=18g%2BL%2FLRAgRhUfD2TT%2BaVg%3D%3D&trackingId=%2FeNQzBY31ObBVzqPICb2xA%3D%3D&trk=flagship3_search_srp_jobs,2025-06-10
Founding AI Engineer — AI Cyber-Security Start-Up,ManticoreAI,United States · 4 days ago · Over 100 applicants Promoted by hirer · Actively reviewing applicants,URL not found,2025-06-10
Gen AI / Agentic AI Engineer,Infosys,"Alpharetta, GA · Reposted 4 days ago · Over 100 people clicked apply Promoted by hirer · Responses managed off LinkedIn",https://www.linkedin.com/jobs/view/4227526225/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=18g%2BL%2FLRAgRhUfD2TT%2BaVg%3D%3D&trackingId=ozxhUy3NJVR%2BsfjB8NRpfQ%3D%3D&trk=flagship3_search_srp_jobs,2025-06-10
Gen AI / Agentic AI Engineer,Infosys,"Alpharetta, GA · Reposted 4 days ago · Over 100 people clicked apply Promoted by hirer · Responses managed off LinkedIn",URL not found,2025-06-10
AI & Machine Learning Engineer,CERTUS,"Tampa, FL · 1 day ago · 73 people clicked apply Responses managed off LinkedIn",https://www.linkedin.com/jobs/view/4247511955/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=18g%2BL%2FLRAgRhUfD2TT%2BaVg%3D%3D&trackingId=gQ772kpwjtjZeCDYWiFQGA%3D%3D&trk=flagship3_search_srp_jobs,2025-06-10
Generative AI Engineer (Remote),Jobs via Dice,"New York, NY · 2 days ago · 27 people clicked apply Promoted by hirer · Responses managed off LinkedIn",https://www.linkedin.com/jobs/view/4244722276/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=zEhWKNkexKtWXMgMiCwhCg%3D%3D&trackingId=9V1NomKAatKPQ%2B%2FlePKrgw%3D%3D&trk=flagship3_search_srp_jobs,2025-06-10
Conversational AI Engineer (AI Azure Cognitive Services/CLU) ---- LOCALS ONLY --- Hybrid Role ---- US citizens / GC Holders ---- NO THIRD PARTIES,"Zillion Technologies, Inc.","Vienna, VA · 4 days ago · 26 applicants Promoted by hirer · Actively reviewing applicants",https://www.linkedin.com/jobs/view/4242943732/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=zEhWKNkexKtWXMgMiCwhCg%3D%3D&trackingId=grmaThN78f1nECsg42Dsmg%3D%3D&trk=flagship3_search_srp_jobs,2025-06-10
"Engineering Manager, AI Developer Technology",NVIDIA,"Westford, MA · Reposted 16 hours ago · Over 100 people clicked apply Promoted by hirer · Responses managed off LinkedIn",https://www.linkedin.com/jobs/view/4185500061/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=zEhWKNkexKtWXMgMiCwhCg%3D%3D&trackingId=XL%2B2oUNFeQWj3FqCac1Dfw%3D%3D&trk=flagship3_search_srp_jobs,2025-06-10
"Engineering Manager, AI Developer Technology",NVIDIA,"Westford, MA · Reposted 16 hours ago · Over 100 people clicked apply Promoted by hirer · Responses managed off LinkedIn",URL not found,2025-06-10
Gen AI / Agentic AI Engineer,Infosys,"Alpharetta, GA · Reposted 2 days ago · Over 100 people clicked apply Promoted by hirer · Responses managed off LinkedIn",https://www.linkedin.com/jobs/view/4229726217/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=zEhWKNkexKtWXMgMiCwhCg%3D%3D&trackingId=fGoLcmUQYSHkAqjyzwKhxg%3D%3D&trk=flagship3_search_srp_jobs,2025-06-10
Gen AI / Agentic AI Engineer,Infosys,"Alpharetta, GA · Reposted 2 days ago · Over 100 people clicked apply Promoted by hirer · Responses managed off LinkedIn",URL not found,2025-06-10
"Artificial Intelligence Engineer, LearnWith.AI (Remote) - $100,000/year USD",Trilogy,United States · Reposted 17 hours ago · Over 100 people clicked apply Promoted by hirer · Responses managed off LinkedIn,https://www.linkedin.com/jobs/view/4244017869/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=zEhWKNkexKtWXMgMiCwhCg%3D%3D&trackingId=eBLtkdCdqVx1UX7AOSAuTA%3D%3D&trk=flagship3_search_srp_jobs,2025-06-10
AI Testing & Prompt Engineer,Somnetics (Som Imaging Informatics Pvt. Ltd.),United States · 2 hours ago · 29 people clicked apply Responses managed off LinkedIn,https://www.linkedin.com/jobs/view/4247825951/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=zEhWKNkexKtWXMgMiCwhCg%3D%3D&trackingId=BoylzqPWASjjdf%2BdPVJhrA%3D%3D&trk=flagship3_search_srp_jobs,2025-06-10
"Startup Technical Advisor - Principal Software Architect, Distributed AI Compute Platform",Toto Networks,United States · 6 hours ago · 14 applicants No response insights available yet,https://www.linkedin.com/jobs/view/4245620149/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=zEhWKNkexKtWXMgMiCwhCg%3D%3D&trackingId=P1%2F8tQldC0oiJ4%2BuDASMcw%3D%3D&trk=flagship3_search_srp_jobs,2025-06-10
"Senior AI Engineer, Orchestration",HP,"Palo Alto, CA · 4 hours ago · 6 people clicked apply Promoted by hirer · Responses managed off LinkedIn",https://www.linkedin.com/jobs/view/4247583957/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=zEhWKNkexKtWXMgMiCwhCg%3D%3D&trackingId=dT7%2FiTER3K7PDClKYxeZ2w%3D%3D&trk=flagship3_search_srp_jobs,2025-06-10
"Senior AI Engineer, Orchestration",HP,"Palo Alto, CA · 4 hours ago · 6 people clicked apply Promoted by hirer · Responses managed off LinkedIn",URL not found,2025-06-10
Lead Engineer - Generative AI & Prompt Engineering,GE Vernova,"Niskayuna, NY · 5 days ago · 19 people clicked apply Promoted by hirer · Responses managed off LinkedIn",https://www.linkedin.com/jobs/view/4244862238/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=zEhWKNkexKtWXMgMiCwhCg%3D%3D&trackingId=kvwPFfHHKfx8zpSDIw5qdg%3D%3D&trk=flagship3_search_srp_jobs,2025-06-10
Founding AI Engineer,Kairos,Location not found,https://www.linkedin.com/jobs/view/4246611469/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=zEhWKNkexKtWXMgMiCwhCg%3D%3D&trackingId=AW1D%2Fn13X%2BuywTIz6Csr5A%3D%3D&trk=flagship3_search_srp_jobs,2025-06-10
