title,company,location,url,scraped_at
"Engineer I, R&D",Terumo Neuro,"Aliso Viejo, CA · Reposted 2 days ago · Over 100 people clicked apply Promoted by hirer · Responses managed off LinkedIn",https://www.linkedin.com/jobs/view/4193002792/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=ThqCoczYOT1in6ftUk8Dwg%3D%3D&trackingId=DDON3ILwayfwFywz3mpf5w%3D%3D&trk=flagship3_search_srp_jobs,2025-06-03 11:28:07
"Jr. HW Engineer, PA",Nokia,"Coppell, TX · Reposted 4 days ago · Over 100 people clicked apply Promoted by hirer · Responses managed off LinkedIn",https://www.linkedin.com/jobs/view/4223093964/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=ThqCoczYOT1in6ftUk8Dwg%3D%3D&trackingId=fhmF4J0xSqX59g31lguPiQ%3D%3D&trk=flagship3_search_srp_jobs,2025-06-03 11:28:12
Research Scientist III,Tokyo Electron US,"Austin, TX · 6 days ago · 85 people clicked apply Promoted by hirer · Responses managed off LinkedIn",https://www.linkedin.com/jobs/view/4238755263/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=ThqCoczYOT1in6ftUk8Dwg%3D%3D&trackingId=U%2Fx%2F6bFY7WCi8NxF7MX4Wg%3D%3D&trk=flagship3_search_srp_jobs,2025-06-03 11:28:17
"Associate Ⅲ, Software Quality Assurance",Samsung Electronics America,"Plano, TX · 3 days ago · 71 people clicked apply Promoted by hirer · Responses managed off LinkedIn",https://www.linkedin.com/jobs/view/4241048605/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=ThqCoczYOT1in6ftUk8Dwg%3D%3D&trackingId=bVTzkx7nGJk%2BOAOjlprgbw%3D%3D&trk=flagship3_search_srp_jobs,2025-06-03 11:28:23
Principal,AI Fund,"Palo Alto, CA · Reposted 4 days ago · Over 100 people clicked apply Promoted by hirer · Responses managed off LinkedIn",https://www.linkedin.com/jobs/view/4090198217/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=ThqCoczYOT1in6ftUk8Dwg%3D%3D&trackingId=DcG7Kl%2BFPlNNAzweyc6T8g%3D%3D&trk=flagship3_search_srp_jobs,2025-06-03 11:28:28
Research Scientist,CooperVision,"San Ramon, CA · Reposted 4 days ago · 84 people clicked apply Promoted by hirer · Responses managed off LinkedIn",https://www.linkedin.com/jobs/view/4225382931/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=ThqCoczYOT1in6ftUk8Dwg%3D%3D&trackingId=rHMQ%2BxrASbgYak%2BGInjZYg%3D%3D&trk=flagship3_search_srp_jobs,2025-06-03 11:28:33
"Student Intern, Psychiatry Research (per diem, temporary)",Boston Medical Center (BMC),"Boston, MA · Reposted 1 day ago · Over 100 people clicked apply Promoted by hirer · Responses managed off LinkedIn",https://www.linkedin.com/jobs/view/4213073624/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=ThqCoczYOT1in6ftUk8Dwg%3D%3D&trackingId=FHUPZW1kxVvJYqdb5X0IGQ%3D%3D&trk=flagship3_search_srp_jobs,2025-06-03 11:28:39
Associate Model Risk Analyst,BioCatch,"New York, NY · Reposted 5 days ago · Over 100 people clicked apply Promoted by hirer · Responses managed off LinkedIn",https://www.linkedin.com/jobs/view/4210657797/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=ThqCoczYOT1in6ftUk8Dwg%3D%3D&trackingId=GnvUmD4Ks6YcDWt%2BJpdSCA%3D%3D&trk=flagship3_search_srp_jobs,2025-06-03 11:28:45
"Vice President, Data Science and Machine Learning",Genentech,"South San Francisco, CA · 7 hours ago · 17 people clicked apply Promoted by hirer · Responses managed off LinkedIn",https://www.linkedin.com/jobs/view/4243062275/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=ThqCoczYOT1in6ftUk8Dwg%3D%3D&trackingId=GlOTlE%2FLtZJg57yJc2mLgg%3D%3D&trk=flagship3_search_srp_jobs,2025-06-03 11:28:50
Special Agent: Mathametics/Data Expertise,Federal Bureau of Investigation (FBI),Greater St. Louis · 4 days ago · 14 people clicked apply Promoted by hirer · Responses managed off LinkedIn,https://www.linkedin.com/jobs/view/4240394078/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=WxBWGQVgm9HV8lktvFW1GQ%3D%3D&trackingId=q4F%2FlhtDo%2FiKqpAI8TgmgA%3D%3D&trk=flagship3_search_srp_jobs,2025-06-03 11:30:25
AI Advisor,Nixon Peabody LLP,"San Francisco, CA · Reposted 2 days ago · 35 people clicked apply Promoted by hirer · Responses managed off LinkedIn",https://www.linkedin.com/jobs/view/4224765170/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=WxBWGQVgm9HV8lktvFW1GQ%3D%3D&trackingId=hk5ua%2BV6XyjL7W34A5URFQ%3D%3D&trk=flagship3_search_srp_jobs,2025-06-03 11:30:31
"Artificial Intelligence and Machine Learning Technical Risk Associate, ES Risk",Capital One,"Richmond, VA · 6 days ago · 33 people clicked apply Promoted by hirer · Responses managed off LinkedIn",https://www.linkedin.com/jobs/view/4238998664/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=WxBWGQVgm9HV8lktvFW1GQ%3D%3D&trackingId=DF9YiJecHhZk7EgKEuW2yA%3D%3D&trk=flagship3_search_srp_jobs,2025-06-03 11:30:36
Technology Specialist (Machine Learning),Fish & Richardson P.C.,"Washington, DC · Reposted 5 days ago · Over 100 people clicked apply Promoted by hirer · Responses managed off LinkedIn",https://www.linkedin.com/jobs/view/3861587657/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=WxBWGQVgm9HV8lktvFW1GQ%3D%3D&trackingId=05iXiCK%2F2EdV0UMm92RPig%3D%3D&trk=flagship3_search_srp_jobs,2025-06-03 11:30:41
Instructional Designer,Scale AI,San Francisco Bay Area · Reposted 2 days ago · Over 100 people clicked apply Promoted by hirer · Responses managed off LinkedIn,https://www.linkedin.com/jobs/view/4196121767/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=WxBWGQVgm9HV8lktvFW1GQ%3D%3D&trackingId=BGlnc%2F3aesBRgcjMduZ%2FSw%3D%3D&trk=flagship3_search_srp_jobs,2025-06-03 11:30:47
Deep Learning Architect - New College Grad 2025,NVIDIA,"Durham, NC · 3 days ago · 85 people clicked apply Promoted by hirer · Responses managed off LinkedIn",https://www.linkedin.com/jobs/view/4240612019/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=WxBWGQVgm9HV8lktvFW1GQ%3D%3D&trackingId=4g0C5EniKhg9OMgEDHgKmg%3D%3D&trk=flagship3_search_srp_jobs,2025-06-03 11:30:52
Deep Learning Architect - New College Grad 2025,NVIDIA,"Durham, NC · 3 days ago · 85 people clicked apply Promoted by hirer · Responses managed off LinkedIn",URL not found,2025-06-03 11:30:58
R&D Engineer 1,Los Alamos National Laboratory,"Los Alamos, NM · Reposted 1 day ago · Over 100 people clicked apply Promoted by hirer · Responses managed off LinkedIn",https://www.linkedin.com/jobs/view/4177393706/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=WxBWGQVgm9HV8lktvFW1GQ%3D%3D&trackingId=qb52BabMYC4bEDHNCsgF%2FQ%3D%3D&trk=flagship3_search_srp_jobs,2025-06-03 11:31:04
"Analyst, Load Analytics",NRG Energy,"Houston, TX · Reposted 4 days ago · Over 100 people clicked apply Promoted by hirer · Responses managed off LinkedIn",https://www.linkedin.com/jobs/view/4208326170/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=WxBWGQVgm9HV8lktvFW1GQ%3D%3D&trackingId=IlgZ%2BJVx8eG0t4HKwBeyKw%3D%3D&trk=flagship3_search_srp_jobs,2025-06-03 11:31:09
Network System Co-Op,Nokia,"New Providence, NJ · 5 days ago · 35 people clicked apply Promoted by hirer · Responses managed off LinkedIn",https://www.linkedin.com/jobs/view/4239570082/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=WxBWGQVgm9HV8lktvFW1GQ%3D%3D&trackingId=hGFNdGcTkPy7zrCJqWU16g%3D%3D&trk=flagship3_search_srp_jobs,2025-06-03 11:31:14
Mechatronics Engineer 1,Lam Research,"Tualatin, OR · Reposted 3 days ago · Over 100 people clicked apply Promoted by hirer · Responses managed off LinkedIn",https://www.linkedin.com/jobs/view/4223747271/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=WxBWGQVgm9HV8lktvFW1GQ%3D%3D&trackingId=ibQIWwVOwwqxHuYIgzzgVw%3D%3D&trk=flagship3_search_srp_jobs,2025-06-03 11:31:20
Control Algorithms Engineer,"Stella Contracting, Inc","Austin, TX · 18 hours ago · 30 people clicked apply Responses managed off LinkedIn",https://www.linkedin.com/jobs/view/4239980242/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=WxBWGQVgm9HV8lktvFW1GQ%3D%3D&trackingId=0DVI%2BJc%2FD%2FdTb2%2BylYn89Q%3D%3D&trk=flagship3_search_srp_jobs,2025-06-03 11:31:25
Research Scientist,KLA,"Ann Arbor, MI · Reposted 1 day ago · Over 100 people clicked apply Promoted by hirer · Responses managed off LinkedIn",https://www.linkedin.com/jobs/view/4023246071/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=WxBWGQVgm9HV8lktvFW1GQ%3D%3D&trackingId=vBlaDc0Y7NBpdUSuBuoDAA%3D%3D&trk=flagship3_search_srp_jobs,2025-06-03 11:31:31
Technical Writer Intern- Summer 2025,Iron Mountain,"Phoenix, AZ · 6 days ago · 14 people clicked apply Responses managed off LinkedIn",https://www.linkedin.com/jobs/view/4238230272/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=WxBWGQVgm9HV8lktvFW1GQ%3D%3D&trackingId=EWVgYjecu7oWx6wyrmUQzg%3D%3D&trk=flagship3_search_srp_jobs,2025-06-03 11:31:36
"Principal Engineer, Exploratory Materials and Devices Research (6742)",TSMC,"San Jose, CA · Reposted 6 days ago · Over 100 people clicked apply Promoted by hirer · Responses managed off LinkedIn",https://www.linkedin.com/jobs/view/4222358304/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=WxBWGQVgm9HV8lktvFW1GQ%3D%3D&trackingId=ahSLYWy%2ForZxFd98n%2BwM8Q%3D%3D&trk=flagship3_search_srp_jobs,2025-06-03 11:31:42
2025 Intern-RF/Analog/Mixed-Signal and Wireless Communication,MediaTek,"West Lafayette, IN · Reposted 3 days ago · Over 100 applicants Promoted by hirer · No response insights available yet",https://www.linkedin.com/jobs/view/4029885716/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=WxBWGQVgm9HV8lktvFW1GQ%3D%3D&trackingId=bksc3CkLGhM9msktS0Ma%2FA%3D%3D&trk=flagship3_search_srp_jobs,2025-06-03 11:31:47
"Technical Lead Threat Intelligence - AI Defense - Remote, U.S.",Cisco,"San Jose, CA · Reposted 4 days ago · 88 people clicked apply Promoted by hirer · Responses managed off LinkedIn",https://www.linkedin.com/jobs/view/4225582566/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=WxBWGQVgm9HV8lktvFW1GQ%3D%3D&trackingId=um%2B5C4e4%2BTE8jkKgaae5Jw%3D%3D&trk=flagship3_search_srp_jobs,2025-06-03 11:31:52
"Technical Lead Threat Intelligence - AI Defense - Remote, U.S.",Cisco,"San Jose, CA · Reposted 4 days ago · 88 people clicked apply Promoted by hirer · Responses managed off LinkedIn",URL not found,2025-06-03 11:31:58
C-Simulation Engineer,AMD,"Orlando, FL · 6 days ago · 61 people clicked apply Promoted by hirer · Responses managed off LinkedIn",https://www.linkedin.com/jobs/view/4236042046/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=WxBWGQVgm9HV8lktvFW1GQ%3D%3D&trackingId=cVAahKv28IU4SOoIiJ85Jg%3D%3D&trk=flagship3_search_srp_jobs,2025-06-03 11:32:03
C-Simulation Engineer,AMD,"Orlando, FL · 6 days ago · 61 people clicked apply Promoted by hirer · Responses managed off LinkedIn",URL not found,2025-06-03 11:32:09
People Analytics & Insights Partner,Suntory Global Spirits,"Chicago, IL · 3 days ago · 93 people clicked apply Promoted by hirer · Responses managed off LinkedIn",https://www.linkedin.com/jobs/view/4240981845/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=WxBWGQVgm9HV8lktvFW1GQ%3D%3D&trackingId=sSgFgqtKYMUz8Yw%2FjBUT0g%3D%3D&trk=flagship3_search_srp_jobs,2025-06-03 11:32:14
Systems Engineer - Chipset Power,Qualcomm,"San Diego, CA · Reposted 5 days ago · 17 people clicked apply Promoted by hirer · Responses managed off LinkedIn",https://www.linkedin.com/jobs/view/4222862652/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=WxBWGQVgm9HV8lktvFW1GQ%3D%3D&trackingId=PSDMKdLLhKBxDBks%2Bj551Q%3D%3D&trk=flagship3_search_srp_jobs,2025-06-03 11:32:19
AI & Advanced Analytics Intern – Manufacturing & Energy Datasets,Boviet Solar,"Greenville, NC · 4 days ago · Over 100 applicants Promoted by hirer · Actively reviewing applicants",https://www.linkedin.com/jobs/view/4237658957/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=WxBWGQVgm9HV8lktvFW1GQ%3D%3D&trackingId=q64Dp%2BXGoLzYKTEK1b2pXA%3D%3D&trk=flagship3_search_srp_jobs,2025-06-03 11:32:25
AI & Advanced Analytics Intern – Manufacturing & Energy Datasets,Boviet Solar,"Greenville, NC · 4 days ago · Over 100 applicants Promoted by hirer · Actively reviewing applicants",URL not found,2025-06-03 11:32:30
Testing Intern (Onsite),Shinkei,"El Segundo, CA · 6 days ago · 21 people clicked apply Responses managed off LinkedIn",https://www.linkedin.com/jobs/view/4236296720/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=WxBWGQVgm9HV8lktvFW1GQ%3D%3D&trackingId=C4hc4XU5gU%2BXioGwA10Ypg%3D%3D&trk=flagship3_search_srp_jobs,2025-06-03 11:32:36
Senior R&D Engineer,Medtronic,"Lafayette, CO · 4 days ago · 85 people clicked apply Promoted by hirer · Responses managed off LinkedIn",https://www.linkedin.com/jobs/view/4240397259/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=WxBWGQVgm9HV8lktvFW1GQ%3D%3D&trackingId=C7HD9ny06ceYIItAUzmINg%3D%3D&trk=flagship3_search_srp_jobs,2025-06-03 11:32:41
Advisor - Statistics,Eli Lilly and Company,"Indianapolis, IN · 6 hours ago · 7 people clicked apply Promoted by hirer · Responses managed off LinkedIn",https://www.linkedin.com/jobs/view/4243101467/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=WxBWGQVgm9HV8lktvFW1GQ%3D%3D&trackingId=surNurZTRGCFoOG6E6XpzA%3D%3D&trk=flagship3_search_srp_jobs,2025-06-03 11:32:47
Electrical Engineers - 2025 College Graduates,Westinghouse Electric Company,"Cranberry Township, PA · Reposted 5 days ago · Over 100 people clicked apply Promoted by hirer · Responses managed off LinkedIn",https://www.linkedin.com/jobs/view/4015150076/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=WxBWGQVgm9HV8lktvFW1GQ%3D%3D&trackingId=PJPTnxL3fLapU9XbbqQ6Eg%3D%3D&trk=flagship3_search_srp_jobs,2025-06-03 11:32:52
Research & Development Engineer Medical Device,"AngioSafe, Inc.","San Jose, CA · 3 days ago · Over 100 applicants Promoted by hirer · Company review time is typically 1 week",https://www.linkedin.com/jobs/view/4241039795/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=WxBWGQVgm9HV8lktvFW1GQ%3D%3D&trackingId=3nstZ9r26U0ot3UtoMTUwA%3D%3D&trk=flagship3_search_srp_jobs,2025-06-03 11:32:57
Research & Development Engineer Medical Device,"AngioSafe, Inc.","San Jose, CA · 3 days ago · Over 100 applicants Promoted by hirer · Company review time is typically 1 week",URL not found,2025-06-03 11:33:03
